Time,Pressure reading
0.4,1030.0
0.5,1030.1
0.6,1030.1
0.7,1030.1
0.7999999999999999,1030.0
0.8999999999999999,1030.1
0.9999999999999999,1030.0
1.0999999999999999,1030.1
1.2,1030.1
1.3,1030.2
1.4000000000000001,1030.0
1.5000000000000002,1030.1
1.6000000000000003,1030.1
1.7000000000000004,1030.2
1.8000000000000005,1030.1
1.9000000000000006,1030.0
2.0000000000000004,1030.1
2.1000000000000005,1030.1
2.2000000000000006,1030.1
2.3000000000000007,1030.0
2.400000000000001,1030.1
2.500000000000001,1030.0
2.600000000000001,1029.9
2.700000000000001,1030.0
2.800000000000001,1030.0
2.9000000000000012,1030.0
3.0000000000000013,1030.1
3.1000000000000014,1030.0
3.2000000000000015,1030.0
3.3000000000000016,1030.0
3.4000000000000017,1030.0
3.5000000000000018,1030.0
3.600000000000002,1030.1
3.700000000000002,1030.0
3.800000000000002,1030.1
3.900000000000002,1029.9
4.000000000000002,1030.0
4.100000000000001,1030.2
4.200000000000001,1030.2
4.300000000000001,1030.8
4.4,1032.8
4.5,1035.1
4.6,1037.3
4.699999999999999,1039.6
4.799999999999999,1042.0
4.899999999999999,1044.4
4.999999999999998,1046.6
5.099999999999998,1048.9
5.1999999999999975,1051.2
5.299999999999997,1053.6
5.399999999999997,1056.0
5.4999999999999964,1058.4
5.599999999999996,1060.8
5.699999999999996,1063.3
5.799999999999995,1065.8
5.899999999999995,1068.3
5.999999999999995,1070.8
6.099999999999994,1073.3
6.199999999999994,1075.5
6.299999999999994,1077.9
6.399999999999993,1080.3
6.499999999999993,1082.7
6.5999999999999925,1084.9
6.699999999999992,1087.1
6.799999999999992,1089.3
6.8999999999999915,1091.8
6.999999999999991,1094.2
7.099999999999991,1096.5
7.19999999999999,1099.2
7.29999999999999,1101.6
7.39999999999999,1104.1
7.499999999999989,1106.8
7.599999999999989,1109.4
7.699999999999989,1111.8
7.799999999999988,1114.3
7.899999999999988,1116.7
7.999999999999988,1119.2
8.099999999999987,1121.5
8.199999999999987,1124.0
8.299999999999986,1126.3
8.399999999999986,1128.7
8.499999999999986,1131.2
8.599999999999985,1133.9
8.699999999999985,1136.5
8.799999999999985,1139.0
8.899999999999984,1141.8
8.999999999999984,1144.5
9.099999999999984,1147.2
9.199999999999983,1149.7
9.299999999999983,1152.3
9.399999999999983,1155.0
9.499999999999982,1157.6
9.599999999999982,1160.1
9.699999999999982,1162.9
9.799999999999981,1165.4
9.89999999999998,1168.0
9.99999999999998,1170.7
10.09999999999998,1173.6
10.19999999999998,1176.4
10.29999999999998,1179.3
10.399999999999979,1182.3
10.499999999999979,1185.2
10.599999999999978,1188.3
10.699999999999978,1191.2
10.799999999999978,1194.2
10.899999999999977,1197.1
10.999999999999977,1199.9
11.099999999999977,1202.8
11.199999999999976,1205.6
11.299999999999976,1208.3
11.399999999999975,1211.1
11.499999999999975,1213.9
11.599999999999975,1216.9
11.699999999999974,1219.9
11.799999999999974,1222.9
11.899999999999974,1226.3
11.999999999999973,1229.3
12.099999999999973,1232.5
12.199999999999973,1235.7
12.299999999999972,1239.0
12.399999999999972,1242.2
12.499999999999972,1245.4
12.599999999999971,1248.4
12.69999999999997,1251.5
12.79999999999997,1254.5
12.89999999999997,1257.5
12.99999999999997,1260.5
13.09999999999997,1263.6
13.199999999999969,1266.8
13.299999999999969,1270.1
13.399999999999968,1273.6
13.499999999999968,1276.9
13.599999999999968,1280.4
13.699999999999967,1283.8
13.799999999999967,1287.3
13.899999999999967,1290.6
13.999999999999966,1294.1
14.099999999999966,1297.4
14.199999999999966,1300.7
14.299999999999965,1304.0
14.399999999999965,1307.2
14.499999999999964,1310.4
14.599999999999964,1313.8
14.699999999999964,1317.1
14.799999999999963,1320.6
14.899999999999963,1324.2
14.999999999999963,1327.9
15.099999999999962,1331.5
15.199999999999962,1335.4
15.299999999999962,1339.3
15.399999999999961,1343.0
15.499999999999961,1346.7
15.59999999999996,1350.4
15.69999999999996,1353.9
15.79999999999996,1357.5
15.89999999999996,1361.1
15.99999999999996,1364.3
16.09999999999996,1368.1
16.19999999999996,1371.6
16.29999999999996,1375.3
16.399999999999963,1379.0
16.499999999999964,1382.9
16.599999999999966,1386.8
16.699999999999967,1390.9
16.79999999999997,1395.0
16.89999999999997,1399.0
16.99999999999997,1403.1
17.099999999999973,1407.0
17.199999999999974,1410.9
17.299999999999976,1414.8
17.399999999999977,1418.6
17.49999999999998,1422.3
17.59999999999998,1426.3
17.69999999999998,1429.9
17.799999999999983,1433.9
17.899999999999984,1438.0
17.999999999999986,1441.9
18.099999999999987,1446.3
18.19999999999999,1450.7
18.29999999999999,1455.0
18.39999999999999,1459.6
18.499999999999993,1463.9
18.599999999999994,1468.4
18.699999999999996,1472.6
18.799999999999997,1476.9
18.9,1481.0
19.0,1485.1
19.1,1489.2
19.200000000000003,1493.3
19.300000000000004,1497.5
19.400000000000006,1501.9
19.500000000000007,1506.1
19.60000000000001,1510.5
19.70000000000001,1515.2
19.80000000000001,1519.8
19.900000000000013,1524.6
20.000000000000014,1529.3
20.100000000000016,1534.3
20.200000000000017,1539.0
20.30000000000002,1543.6
20.40000000000002,1548.0
20.50000000000002,1552.4
20.600000000000023,1556.8
20.700000000000024,1561.2
20.800000000000026,1565.6
20.900000000000027,1570.2
21.00000000000003,1574.9
21.10000000000003,1580.0
21.20000000000003,1585.0
21.300000000000033,1590.3
21.400000000000034,1595.5
21.500000000000036,1600.8
21.600000000000037,1606.4
21.70000000000004,1611.6
21.80000000000004,1616.8
21.90000000000004,1622.0
