Value 1
1039.1
1039.2
1039.2
1039.1
1039.2
1038.9
1039.1
1039.2
1039.1
1039.1
1039.1
1039.1
1039.0
1039.1
1039.1
1039.1
1039.1
1039.1
1039.2
1039.1
1039.1
1039.1
1039.2
1039.1
1039.0
1039.1
1039.0
1038.9
1039.0
1039.0
1039.1
1039.0
1039.1
1039.0
1038.9
1039.1
1039.1
1039.0
1039.0
1039.1
1039.0
1038.9
1038.9
1039.0
1039.0
1039.1
1039.1
1038.9
1039.1
1039.0
1039.1
1039.0
1039.0
1039.0
1038.9
1038.9
1039.0
1039.0
1039.1
1039.2
1039.4
1039.6
1039.8
1040.0
1040.3
1040.4
1040.6
1040.7
1040.8
1041.2
1041.2
1041.4
1041.5
1041.8
1041.9
1042.1
1042.3
1042.4
1042.6
1042.8
1043.0
1043.1
1043.3
1043.5
1043.8
1043.9
1044.1
1044.3
1044.5
1044.7
1044.9
1045.0
1045.2
1045.2
1045.5
1045.6
1045.8
1045.9
1046.2
1046.3
1046.4
1046.6
1046.8
1047.2
1047.2
1047.4
1047.6
1047.9
1047.9
1048.3
1048.3
1048.5
1048.7
1048.9
1049.0
1049.3
1049.4
1049.5
1049.7
1049.9
1050.1
1050.2
1050.4
1050.5
1050.6
1050.8
1051.1
1051.3
1051.3
1051.6
1051.8
1051.9
1052.2
1052.4
1052.6
1052.8
1053.0
1053.1
1053.3
1053.4
1053.6
1053.9
1053.9
1054.1
1054.3
1054.5
1054.7
1055.0
1055.0
1055.2
1055.4
1055.5
1055.9
1055.9
1056.1
1056.3
1056.5
1056.7
1056.9
1057.2
1057.3
1057.5
1057.7
1057.8
1057.9
1058.2
1058.2
1058.4
1058.7
1058.8
1059.0
1059.0
1059.4
1059.5
1059.7
1059.9
1060.1
1060.3
1060.4
1060.7
1060.8
1061.0
1061.0
1061.2
1061.1
1061.1
1061.0
1061.0
1061.0
1061.1
1061.1
1060.9
1060.9
1061.0
1061.0
1061.0
1061.0
1061.1
1061.0
1061.0
1061.1
1061.0
1061.0
1061.0
1061.0
1060.9
1061.0
1061.1
1061.0
1061.0
1061.0
1061.0
1061.0
1061.1
1061.1
1060.9
